iter	Passed	Remaining
668	1412	154
669	1414	152
670	1416	149
671	1418	147
672	1420	145
673	1422	143
674	1424	141
675	1426	139
676	1428	137
677	1430	135
678	1432	132
679	1434	130
680	1436	128
681	1438	126
682	1440	124
683	1442	122
684	1443	120
685	1445	118
686	1447	115
687	1449	113
688	1451	111
689	1453	109
690	1455	107
691	1457	105
692	1459	103
693	1461	101
694	1463	98
695	1465	96
696	1467	94
697	1469	92
698	1471	90
699	1473	88
700	1475	86
701	1477	84
702	1479	82
703	1482	79
704	1484	77
705	1486	75
706	1488	73
707	1490	71
708	1492	69
709	1494	67
710	1496	65
711	1498	63
712	1500	61
713	1502	58
714	1504	56
715	1506	54
716	1508	52
717	1510	50
718	1512	48
719	1514	46
720	1516	44
721	1518	42
722	1520	39
723	1522	37
724	1523	35
725	1525	33
726	1528	31
727	1529	29
728	1532	27
729	1533	25
730	1535	23
731	1537	21
732	1539	18
733	1541	16
734	1543	14
735	1545	12
736	1547	10
737	1549	8
738	1551	6
739	1554	4
740	1556	2
741	1558	0
